row_id,work_cid,input_platform,next_action,title_note,source_contract_id,force_add_existing_platform
3550,295590,에피루스 이북클럽(B2C),add_platform_in_ips,몬스터홀,86054,N
3551,113327,에피루스 이북클럽(B2C),add_platform_in_ips,백작가의사생아가결혼하면,86051,N
3552,113749,에피루스 이북클럽(B2C),add_platform_in_ips,살인귀의아이를낳았다,86053,N
